Characteristic,Sex,Race/ethnicity,Age,Year,"Rate (per 1,000 children)",Notes
Total,,,,2008,10.3,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total,,,,2009,10.1,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total,,,,2010,10,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total,,,,2011,9.9,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total,,,,2012,9.8,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total,,,,2013,9.8,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total,,,,2014,10.2,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Male,Male,,,1998,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
Total - Male,Male,,,1999,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
Total - Male,Male,,,2000,11.4,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Male,Male,,,2001,11.7,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Male,Male,,,2002,11.5,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Male,Male,,,2003,11.5,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Male,Male,,,2004,11.3,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Male,Male,,,2005,11.3,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Male,Male,,,2006,11.4,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Male,Male,,,2007,10,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Male,Male,,,2008,9.7,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Male,Male,,,2009,9.5,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
