Characteristic,Sex,Race/ethnicity,Year,Percentage,Count,Margin of Error on Percentages (for standard error divide by 1.645),Note
Total - All other living arrangements,,,2012,22.2,6682,0.6,
Total - All other living arrangements,,,2013,22.7,6799,0.6,
Total - All other living arrangements,,,2014,23.2,6993,1.1,
Total - All other living arrangements,,,2015,23.6,7079,0.7,
Total - Male,Male,,2001,100,13412,,
Total - Male,Male,,2002,100,13695,,
Total - Male,Male,,2003,100,13812,,
Total - Male,Male,,2004,100,14165,,
Total - Male,Male,,2005,100,14060,,
Total - Male,Male,,2006,100,14101,,
Total - Male,Male,,2007,100,14409,,
Total - Male,Male,,2008,100,14377,,
Total - Male,Male,,2009,100,14498,,
Total - Male,Male,,2010,100,14824,,
Total - Male,Male,,2011,100,14978,,
Total - Male,Male,,2012,100,15154,,
Total - Male,Male,,2013,100,15137,,
Total - Male,Male,,2014,100,15280,,
Total - Male,Male,,2015,100,15123,,
"Total - Child of householder, Male",Male,,2001, 54.7 ,7342,1.6,
"Total - Child of householder, Male",Male,,2002,55.0,7532,1.1,
"Total - Child of householder, Male",Male,,2003,54.8,7569,1.1,
"Total - Child of householder, Male",Male,,2004,56.0,7928,1.1,
"Total - Child of householder, Male",Male,,2005,52.6,7400,1.1,
"Total - Child of householder, Male",Male,,2006,53.4,7533,1.1,
"Total - Child of householder, Male",Male,,2007,53.8,7745,1.1,
"Total - Child of householder, Male",Male,,2008,55.1,7919,1.1,
"Total - Child of householder, Male",Male,,2009,55.6,8058,1.1,
"Total - Child of householder, Male",Male,,2010,56.2,8337,1.1,
"Total - Child of householder, Male",Male,,2011,57.6,8626,1.1,
"Total - Child of householder, Male",Male,,2012,59.4,9008,1.1,
"Total - Child of householder, Male",Male,,2013,57.7,8738,1.1,
"Total - Child of householder, Male",Male,,2014,57.3,8762,1.8,
"Total - Child of householder, Male",Male,,2015,57.6,8706,1.2,
"Total - Living with a spouse, Male",Male,,2001, 9.5 ,1275,1.0,
"Total - Living with a spouse, Male",Male,,2002,9.3,1269,0.7,
"Total - Living with a spouse, Male",Male,,2003,8.8,1210,0.6,
"Total - Living with a spouse, Male",Male,,2004,8.6,1215,0.6,
"Total - Living with a spouse, Male",Male,,2005,8.7,1219,0.6,
"Total - Living with a spouse, Male",Male,,2006,8.3,1174,0.6,
"Total - Living with a spouse, Male",Male,,2007,7.6,1098,0.6,
"Total - Living with a spouse, Male",Male,,2008,7.4,1069,0.6,
"Total - Living with a spouse, Male",Male,,2009,7.4,1079,0.6,
"Total - Living with a spouse, Male",Male,,2010,6.7,991,0.5,
"Total - Living with a spouse, Male",Male,,2011,6.2,924,0.5,
"Total - Living with a spouse, Male",Male,,2012,6.1,925,0.5,
"Total - Living with a spouse, Male",Male,,2013,6.0,904,0.5,
"Total - Living with a spouse, Male",Male,,2014,5.8,892,0.8,
"Total - Living with a spouse, Male",Male,,2015,5.4,811,0.5,
"Total - Living with an unmarried partner, Male",Male,,2001, 6.8 ,911,0.8,
"Total - Living with an unmarried partner, Male",Male,,2002,6.6,900,0.6,
"Total - Living with an unmarried partner, Male",Male,,2003,6.9,946,0.6,
"Total - Living with an unmarried partner, Male",Male,,2004,6.4,911,0.6,
"Total - Living with an unmarried partner, Male",Male,,2005,7.2,1013,0.6,
"Total - Living with an unmarried partner, Male",Male,,2006,6.8,961,0.6,
"Total - Living with an unmarried partner, Male",Male,,2007,8.8,1268,0.6,
"Total - Living with an unmarried partner, Male",Male,,2008,8.3,1197,0.6,
"Total - Living with an unmarried partner, Male",Male,,2009,7.6,1099,0.6,
"Total - Living with an unmarried partner, Male",Male,,2010,7.7,1137,0.6,
"Total - Living with an unmarried partner, Male",Male,,2011,8.2,1228,0.6,
"Total - Living with an unmarried partner, Male",Male,,2012,7.6,1151,0.6,
"Total - Living with an unmarried partner, Male",Male,,2013,7.9,1193,0.6,
"Total - Living with an unmarried partner, Male",Male,,2014,7.5,1148,0.9,
"Total - Living with an unmarried partner, Male",Male,,2015,7.7,1169,0.6,
"Total - Living alone, Male",Male,,2001, 5.2 ,716,0.7,
"Total - Living alone, Male",Male,,2002,4.4,595,0.5,
"Total - Living alone, Male",Male,,2003,5.2,722,0.5,
"Total - Living alone, Male",Male,,2004,5.4,766,0.5,
"Total - Living alone, Male",Male,,2005,5.4,759,0.5,
"Total - Living alone, Male",Male,,2006,5.9,826,0.5,
"Total - Living alone, Male",Male,,2007,5.5,792,0.5,
"Total - Living alone, Male",Male,,2008,5.9,842,0.5,
"Total - Living alone, Male",Male,,2009,6.0,868,0.5,
"Total - Living alone, Male",Male,,2010,4.9,720,0.5,
"Total - Living alone, Male",Male,,2011,4.9,737,0.5,
"Total - Living alone, Male",Male,,2012,4.3,653,0.4,
"Total - Living alone, Male",Male,,2013,5.0,758,0.5,
"Total - Living alone, Male",Male,,2014,4.9,745,0.8,
"Total - Living alone, Male",Male,,2015,4.6,699,0.5,
"Total - All other living arrangements, Male",Male,,2001, 23.8 ,3187,1.4,
"Total - All other living arrangements, Male",Male,,2002,24.8,3399,1.0,
"Total - All other living arrangements, Male",Male,,2003,24.4,3365,1.0,
"Total - All other living arrangements, Male",Male,,2004,23.6,3344,1.0,
"Total - All other living arrangements, Male",Male,,2005,26.1,3669,1.0,
"Total - All other living arrangements, Male",Male,,2006,25.6,3607,1.0,
"Total - All other living arrangements, Male",Male,,2007,24.3,3506,1.0,
"Total - All other living arrangements, Male",Male,,2008,23.3,3350,0.9,
"Total - All other living arrangements, Male",Male,,2009,23.4,3395,0.9,
"Total - All other living arrangements, Male",Male,,2010,24.6,3639,0.9,
"Total - All other living arrangements, Male",Male,,2011,23.1,3464,0.9,
"Total - All other living arrangements, Male",Male,,2012,22.6,3417,0.9,
"Total - All other living arrangements, Male",Male,,2013,23.4,3544,0.9,
"Total - All other living arrangements, Male",Male,,2014,24.4,3734,1.5,
"Total - All other living arrangements, Male",Male,,2015,24.7,3739,1.0,
Total - Female,Female,,2001,100,13362,,
Total - Female,Female,,2002,100,13602,,
Total - Female,Female,,2003,100,13592,,
Total - Female,Female,,2004,100,13611,,
Total - Female,Female,,2005,100,13933,,
Total - Female,Female,,2006,100,13841,,
Total - Female,Female,,2007,100,13976,,
Total - Female,Female,,2008,100,13983,,
Total - Female,Female,,2009,100,14162,,
Total - Female,Female,,2010,100,14469,,
Total - Female,Female,,2011,100,14820,,
Total - Female,Female,,2012,100,14971,,
Total - Female,Female,,2013,100,14867,,
Total - Female,Female,,2014,100,14853,,
Total - Female,Female,,2015,100,14893,,
"Total - Child of householder, Female",Female,,2001, 44.8 ,5986,1.6,
"Total - Child of householder, Female",Female,,2002,45.5,6185,1.1,
"Total - Child of householder, Female",Female,,2003,45.7,6214,1.1,
"Total - Child of householder, Female",Female,,2004,45.7,6222,1.1,
"Total - Child of householder, Female",Female,,2005,45.5,6343,1.1,
"Total - Child of householder, Female",Female,,2006,46.3,6411,1.1,
"Total - Child of householder, Female",Female,,2007,46.5,6499,1.1,
"Total - Child of householder, Female",Female,,2008,47.4,6628,1.1,
"Total - Child of householder, Female",Female,,2009,48.0,6795,1.1,
"Total - Child of householder, Female",Female,,2010,47.9,6935,1.1,
"Total - Child of householder, Female",Female,,2011,49.2,7289,1.1,
"Total - Child of householder, Female",Female,,2012,50.9,7626,1.1,
"Total - Child of householder, Female",Female,,2013,51.1,7595,1.1,
"Total - Child of householder, Female",Female,,2014,50.6,7510,1.8,
"Total - Child of householder, Female",Female,,2015,50.9,7576,1.2,
"Total - Living with a spouse, Female",Female,,2001, 18.2 ,2436,1.3,
"Total - Living with a spouse, Female",Female,,2002,16.9,2296,0.9,
"Total - Living with a spouse, Female",Female,,2003,16.1,2191,0.8,
"Total - Living with a spouse, Female",Female,,2004,16.0,2182,0.8,
"Total - Living with a spouse, Female",Female,,2005,15.7,2192,0.8,
"Total - Living with a spouse, Female",Female,,2006,15.8,1040,0.8,
"Total - Living with a spouse, Female",Female,,2007,15.0,2100,0.8,
"Total - Living with a spouse, Female",Female,,2008,13.2,1845,0.8,
"Total - Living with a spouse, Female",Female,,2009,13.4,1901,0.8,
"Total - Living with a spouse, Female",Female,,2010,12.5,1804,0.7,
"Total - Living with a spouse, Female",Female,,2011,11.4,1694,0.7,
"Total - Living with a spouse, Female",Female,,2012,10.6,1592,0.7,
"Total - Living with a spouse, Female",Female,,2013,10.0,1489,0.7,
"Total - Living with a spouse, Female",Female,,2014,10.6,1573,1.1,
"Total - Living with a spouse, Female",Female,,2015,9.5,1407,0.7,
"Total - Living with an unmarried partner, Female",Female,,2001, 7.1 ,945,0.8,
"Total - Living with an unmarried partner, Female",Female,,2002,7.3,988,0.6,
"Total - Living with an unmarried partner, Female",Female,,2003,7.2,975,0.6,
"Total - Living with an unmarried partner, Female",Female,,2004,7.6,1029,0.6,
"Total - Living with an unmarried partner, Female",Female,,2005,7.5,1047,0.6,
"Total - Living with an unmarried partner, Female",Female,,2006,7.5,2187,0.6,
"Total - Living with an unmarried partner, Female",Female,,2007,12.4,1731,0.7,
"Total - Living with an unmarried partner, Female",Female,,2008,13.0,1824,0.8,
"Total - Living with an unmarried partner, Female",Female,,2009,11.3,1598,0.7,
"Total - Living with an unmarried partner, Female",Female,,2010,12.4,1801,0.7,
"Total - Living with an unmarried partner, Female",Female,,2011,12.0,1771,0.7,
"Total - Living with an unmarried partner, Female",Female,,2012,11.8,1765,0.7,
"Total - Living with an unmarried partner, Female",Female,,2013,11.7,1746,0.7,
"Total - Living with an unmarried partner, Female",Female,,2014,11.4,1692,1.1,
"Total - Living with an unmarried partner, Female",Female,,2015,12.4,1848,0.8,
"Total - Living alone, Female",Female,,2001, 5.4 ,697,0.7,
"Total - Living alone, Female",Female,,2002,5.0,682,0.5,
"Total - Living alone, Female",Female,,2003,6.0,813,0.5,
"Total - Living alone, Female",Female,,2004,5.6,760,0.5,
"Total - Living alone, Female",Female,,2005,5.5,760,0.5,
"Total - Living alone, Female",Female,,2006,5.5,763,0.5,
"Total - Living alone, Female",Female,,2007,5.7,799,0.5,
"Total - Living alone, Female",Female,,2008,5.8,805,0.5,
"Total - Living alone, Female",Female,,2009,4.7,660,0.5,
"Total - Living alone, Female",Female,,2010,4.4,642,0.5,
"Total - Living alone, Female",Female,,2011,4.8,713,0.5,
"Total - Living alone, Female",Female,,2012,4.8,724,0.5,
"Total - Living alone, Female",Female,,2013,5.3,783,0.5,
"Total - Living alone, Female",Female,,2014,5.5,819,0.8,
"Total - Living alone, Female",Female,,2015,4.9,722,0.5,
"Total - All other living arrangements, Female",Female,,2001, 24.5 ,3279,0.5,
"Total - All other living arrangements, Female",Female,,2002,25.4,3451,1.0,
"Total - All other living arrangements, Female",Female,,2003,25.0,3399,1.0,
"Total - All other living arrangements, Female",Female,,2004,25.1,3418,1.0,
"Total - All other living arrangements, Female",Female,,2005,25.8,3590,1.0,
"Total - All other living arrangements, Female",Female,,2006,24.9,3440,1.0,
"Total - All other living arrangements, Female",Female,,2007,20.4,2846,0.9,
"Total - All other living arrangements, Female",Female,,2008,20.6,2881,0.9,
"Total - All other living arrangements, Female",Female,,2009,22.7,3208,0.9,
"Total - All other living arrangements, Female",Female,,2010,22.7,3288,0.9,
"Total - All other living arrangements, Female",Female,,2011,22.6,3353,0.9,
"Total - All other living arrangements, Female",Female,,2012,21.8,3265,0.9,
"Total - All other living arrangements, Female",Female,,2013,21.9,3255,0.9,
"Total - All other living arrangements, Female",Female,,2014,21.9,3259,1.5,
"Total - All other living arrangements, Female",Female,,2015,22.4,3340,1.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2001,100,16683,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,100,17018,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2013,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2014,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White, non-Hispanic",,"White, non-Hispanic",2015,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2001, 52.7 ,8797,1.5,
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2002,53.4,9079,1.0,
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2003,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
