Characteristic,Type of violent crime,Sex of head of household,Race/ethnicity,Year,Percentage,Standard Error on Percentage,Note on Percent,Count,Standard Error on Count,Note on Count
"Total - Violent crime, Female",Violent crime,Female,,2002,7.1,0.63,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2400580,234828.6082,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2003,6.9,0.57,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2412610,217436.5957,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2004,5.5,0.43,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1983450,167186.1228,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2005,5.7,0.5,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2156440,200589.6967,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2006,7,0.53,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2732510,226481.9863,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2007,5.8,0.52,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2263490,222179.9436,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2008,5.6,0.51,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2228110,216392.4401,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2009,5.3,0.55,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2062870,229118.7500,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2010,4.7,0.49,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1836460,207197.9670,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2011,4.8,0.44,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1890940,187192.4756,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2012,5.6,0.43,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2237230,185853.2792,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2013,5.1,0.53,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1975280,222800.1185,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2014,4.1,0.41,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1561570,165361.2206,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2000,7.2,0.54,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,3287240,270447.3163,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2001,6.1,0.44,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2808030,218326.5328,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2002,5.7,0.51,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2590780,247730.2430,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2003,5.8,0.47,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2641580,231480.7431,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2004,5.4,0.4,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2427630,191578.1233,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2005,4.5,0.4,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2077390,195534.7698,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2006,5.7,0.45,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2612360,219657.8768,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2007,5,0.45,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2227180,219610.8415,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2008,4.6,0.43,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2054040,204921.0900,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2009,4.1,0.45,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1789420,207597.2892,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2010,3.7,0.41,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1553890,184084.5216,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2011,4,0.39,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1672780,171840.4683,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2012,4.7,0.38,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1911060,167319.9274,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2013,3.9,0.44,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1556700,188185.7229,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, White, non-Hispanic",Violent crime,,"White, non-Hispanic",2014,3.6,0.38,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1410780,154229.0094,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2000,7.6,0.86,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,810070,102109.1141,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2001,6.5,0.72,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,706520,85647.7123,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2002,6.3,0.8,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,712610,99849.6024,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2003,5.8,0.73,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,599790,83371.0963,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2004,5.6,0.65,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,580630,73676.3531,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2005,5.9,0.76,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,588490,83047.2288,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2006,9.3,0.97,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,939290,109753.5350,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2007,5.7,0.74,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,565940,81183.6353,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2008,6.2,0.87,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,594940,90329.0528,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2009,6.3,0.93,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,588240,96350.3834,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2010,5.6,0.81,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,566830,90193.9439,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2011,4.8,0.66,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,470200,71205.4674,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2012,6.2,0.73,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,625880,80299.1546,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Black, non-Hispanic",Violent crime,,"Black, non-Hispanic",2013,4.6,0.73,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,441350,77080.2245,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
